Key,en,es,ar,bn,tr
Dashboard,Dashboard,Panel,لوحة التحكم,ড্যাশবোর্ড,Gösterge Paneli
Language,Language,Idioma,اللغة,ভাষা,Dil
Information,Information,Información,معلومات,তথ্য,Bilgi
Language Information,Language Information,Información de idioma,معلومات اللغة,ভাষা তথ্য,Dil Bilgileri
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,ভাষা ব্যবস্থাপক,Dil Yöneticisi
Language created successfully!,Language created successfully!,¡Idioma creado con éxito!,تم إنشاء اللغة بنجاح!,ভাষা সফলভাবে তৈরি!,Dil başarıyla oluşturuldu!
Home,Home,Hogar,الصفحة الرئيسية,বাড়ি,Ev
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtiene correctamente!,تم استرداد إعدادات أساسية بنجاح!,মৌলিক সেটিংস সফলভাবে আনা!,Temel ayarlar başarıyla alındı!
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! no autenticado,تم رفض الوصول! غير مُصادق عليه,প্রবেশাধিকার অস্বীকার! অপ্রমাণিত,Erişim engellendi! Kimliği doğrulanmadı
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى,কিছু ভুল হয়েছে! আবার চেষ্টা করুন,Bir sorun oluştu! Lütfen tekrar deneyin.
Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Código de verificación enviado con éxito a su correo. Por favor revise su bandeja de entrada de correo/correo no deseado para verificar,تم إرسال رمز التحقق بنجاح إلى بريدك الإلكتروني. يرجى التحقق من البريد الوارد أو البريد العشوائي للتحقق,আপনার মেইলে যাচাইকরণ কোড সফলভাবে পাঠানো হয়েছে। যাচাই করতে আপনার মেইল ইনবক্স/স্প্যাম চেক করুন,Doğrulama kodu e-postanıza başarıyla gönderildi. Lütfen doğrulamak için e-posta gelen kutunuzu/spam kutunuzu kontrol edin.
Successfully resend verification code!,Verification code resend successfully!,Código de verificación reenviado con éxito!,تم إعادة إرسال رمز التحقق بنجاح!,যাচাইকরণ কোড সফলভাবে পুনরায় পাঠানো হয়েছে!,Doğrulama kodu başarıyla tekrar gönderildi!
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP no válido. Inténtalo de nuevo,رمز التحقق غير صالح. يرجى المحاولة مرة أخرى,অবৈধ OTP আবার চেষ্টা করুন,Geçersiz OTP. Lütfen tekrar deneyin.
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. يرجى المحاولة مرة أخرى,সেশনের মেয়াদ শেষ। আবার চেষ্টা করুন,Oturum süresi doldu. Lütfen tekrar deneyin.
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,تم التحقق من الحساب بنجاح,অ্যাকাউন্ট সফলভাবে যাচাই করা হয়েছে,Hesap başarıyla doğrulandı
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه من KYC,আপনি ইতিমধ্যেই কেওয়াইসি যাচাইকৃত ব্যবহারকারী,Zaten KYC Doğrulanmış Kullanıcısınız
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Su información KYC ha sido enviada. Espere la confirmación del administrador,تم إرسال معلومات KYC الخاصة بك. يرجى الانتظار لتأكيد المسؤول,আপনার কেওয়াইসি তথ্য জমা দেওয়া হয়েছে। অ্যাডমিন নিশ্চিতকরণের জন্য অপেক্ষা করুন,KYC bilgileriniz gönderildi. Lütfen yönetici onayını bekleyin.
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,ব্যবহারকারীর কেওয়াইসি বিভাগ রক্ষণাবেক্ষণের অধীনে রয়েছে,Kullanıcı KYC bölümü bakımdadır
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se obtienen con éxito!,تم استرداد حقول إدخال KYC للمستخدم بنجاح!,ব্যবহারকারীর KYC ইনপুট ক্ষেত্র সফলভাবে আনা!,Kullanıcı KYC giriş alanları başarıyla getirildi!
KYC information successfully submitted,KYC information successfully submitted,Información KYC enviada con éxito,تم إرسال معلومات KYC بنجاح,KYC তথ্য সফলভাবে জমা দেওয়া হয়েছে,KYC bilgileri başarıyla gönderildi
Your account secure with google 2FA,Your account secure with google 2FA,Tu cuenta segura con google 2FA,حسابك آمن باستخدام Google 2FA,Google 2FA এর মাধ্যমে আপনার অ্যাকাউন্ট সুরক্ষিত,Hesabınız Google 2FA ile güvende
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con la tecnología de Google), visite su panel web Haga clic aquí:",لتمكين المصادقة الثنائية (مدعومة من Google) يرجى زيارة لوحة التحكم الخاصة بك على الويب انقر هنا:,দুই ফ্যাক্টর প্রমাণীকরণ সক্ষম করতে (গুগল দ্বারা চালিত) অনুগ্রহ করে আপনার ওয়েব ড্যাশবোর্ডে যান এখানে ক্লিক করুন:,İki faktörlü kimlik doğrulamayı etkinleştirmek için (Google tarafından desteklenmektedir) lütfen web panelinizi ziyaret edin Buraya tıklayın:
Request response fetch successfully!,Request response fetch successfully!,Solicitud de respuesta obtenida con éxito.,تم استرداد استجابة الطلب بنجاح!,অনুরোধ প্রতিক্রিয়া সফলভাবে আনা!,İstek yanıtı başarıyla alındı!
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,"Tu clave secreta no se almacenó correctamente. Por favor, contacta con el administrador del sistema.",مفتاحك السري غير مخزن بشكل صحيح. يرجى الاتصال بمسؤول النظام,আপনার গোপন কী সঠিকভাবে সংরক্ষণ করা হয় না. সিস্টেম অ্যাডমিনিস্ট্রেটরের সাথে যোগাযোগ করুন,Gizli anahtarınız doğru şekilde saklanmadı. Lütfen sistem yöneticinizle iletişime geçin.
Google 2FA successfully verified!,Google 2FA successfully verified!,¡Verificación de Google 2FA realizada con éxito!,تم التحقق من Google 2FA بنجاح!,Google 2FA সফলভাবে যাচাই করা হয়েছে!,Google 2FA başarıyla doğrulandı!
Invalid authentication code,Invalid authentication code,Código de autenticación no válido.,رمز التحقق غير صالح,অবৈধ প্রমাণীকরণ কোড,Geçersiz kimlik doğrulama kodu
Failed to login. Please try again,Failed to login. Please try again,"Inicio de sesión fallido. Por favor, inténtalo de nuevo.",فشل تسجيل الدخول. يرجى المحاولة مرة أخرى,লগইন করতে ব্যর্থ হয়েছে. আবার চেষ্টা করুন,Giriş yapılamadı. Lütfen tekrar deneyin.
User doesn't exists,User doesn't exists,El usuario no existe.,المستخدم غير موجود,ব্যবহারকারীর অস্তিত্ব নেই,Kullanıcı mevcut değil
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,"Tu cuenta está temporalmente bloqueada. Por favor, contacta con el administrador del sistema.",حسابك موقوف مؤقتًا. يرجى الاتصال بمسؤول النظام,আপনার অ্যাকাউন্ট অস্থায়ী ব্যান্ড করা হয়. সিস্টেম অ্যাডমিনের সাথে যোগাযোগ করুন,Hesabınız geçici olarak kapatıldı. Lütfen sistem yöneticisiyle iletişime geçin.
Code sended to your email address!,Verification code sended to your email address,Código de verificación enviado a tu dirección de correo electrónico.,تم إرسال الرمز إلى عنوان بريدك الإلكتروني!,আপনার ইমেল ঠিকানায় যাচাইকরণ কোড পাঠানো হয়েছে,Doğrulama kodu e-posta adresinize gönderildi
Session expired. Please try again,Session expired. Please try again,"La sesión ha expirado. Por favor, inténtalo de nuevo.",انتهت الجلسة. يرجى المحاولة مرة أخرى,সেশনের মেয়াদ শেষ। আবার চেষ্টা করুন,Oturum süresi doldu. Lütfen tekrar deneyin.
Verification Otp is Invalid,Verification Otp is Invalid,Código de verificación no válido.,رمز التحقق غير صالح,যাচাইকরণ ওটিপি অবৈধ৷,Doğrulama Otp Geçersiz
OTP successfully verified!,OTP successfully verified!,¡Código OTP verificado con éxito!,تم التحقق من OTP بنجاح!,OTP সফলভাবে যাচাই করা হয়েছে!,OTP başarıyla doğrulandı!
Request token is invalid,Request token is invalid,El token de solicitud no es válido.,رمز الطلب غير صالح,অনুরোধ টোকেন অবৈধ,İstek belirteci geçersiz
OTP resend success,OTP resend success,Reenvío exitoso del OTP.,إعادة إرسال OTP ناجحة,OTP আবার পাঠানো সফল,OTP yeniden gönderme başarılı
Password reset success,Password reset success,Restablecimiento de contraseña exitoso.,إعادة تعيين كلمة المرور ناجحة,পাসওয়ার্ড রিসেট সফল,Şifre sıfırlama başarılı
Credentials didn't match,Credentials didn't match,Las credenciales no coinciden.,بيانات الاعتماد غير متطابقة,শংসাপত্র মেলেনি,Kimlik bilgileri eşleşmedi
Login Failed! Failed to refresh wallet! Please try again,Login Failed! Failed to refresh wallet! Please try again,"¡Inicio de sesión fallido! Error al actualizar la billetera. Por favor, inténtalo de nuevo.",فشل تسجيل الدخول! فشل في تحديث المحفظة! يرجى المحاولة مرة أخرى,লগইন ব্যর্থ হয়েছে! ওয়ালেট রিফ্রেশ করতে ব্যর্থ! আবার চেষ্টা করুন,Giriş Başarısız! Cüzdan yenilenemedi! Lütfen tekrar deneyin.
logged in,User successfully logged in,Usuario inició sesión con éxito.,تم تسجيل الدخول,ব্যবহারকারী সফলভাবে লগ ইন করেছেন৷,Kullanıcı başarıyla oturum açtı
Registration failed! Please try again,Registration failed! Please try again,"Registro fallido. Por favor, inténtalo de nuevo.",فشل التسجيل! يرجى المحاولة مرة أخرى,নিবন্ধন ব্যর্থ! আবার চেষ্টা করুন,Kayıt başarısız oldu! Lütfen tekrar deneyin.
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,"Error al obtener la información del usuario. Por favor, inténtalo de nuevo.",فشل في استرداد معلومات المستخدم. يرجى المحاولة مرة أخرى,ব্যবহারকারীর তথ্য আনতে ব্যর্থ হয়েছে৷ আবার চেষ্টা করুন,Kullanıcı bilgileri alınamadı. Lütfen tekrar deneyin.
Failed to generate user token! Please try again,Failed to generate user token! Please try again,"Error al generar el token de usuario. Por favor, inténtalo de nuevo.",فشل في إنشاء رمز المستخدم! يرجى المحاولة مرة أخرى,ব্যবহারকারী টোকেন তৈরি করতে ব্যর্থ! আবার চেষ্টা করুন,Kullanıcı belirteci oluşturulamadı! Lütfen tekrar deneyin.
Failed to create wallet! Please try again,Registration Failed! Failed to create wallet! Please try again,"Registro fallido. Error al crear la billetera. Por favor, inténtalo de nuevo.",فشل في إنشاء المحفظة! يرجى المحاولة مرة أخرى,নিবন্ধন ব্যর্থ! ওয়ালেট তৈরি করতে ব্যর্থ! আবার চেষ্টা করুন,Kayıt başarısız! Cüzdan oluşturulamadı! Lütfen tekrar deneyin.
User successfully registered,User successfully registered,Usuario registrado con éxito.,تم تسجيل المستخدم بنجاح,ব্যবহারকারী সফলভাবে নিবন্ধিত হয়েছে,Kullanıcı başarıyla kaydedildi
Failed to fetch data. Please try again,Failed to fetch data. Please try again,"Error al obtener los datos. Por favor, inténtalo de nuevo.",فشل في استرداد البيانات. يرجى المحاولة مرة أخرى,ডেটা আনতে ব্যর্থ হয়েছে৷ আবার চেষ্টা করুন,Veriler alınamadı. Lütfen tekrar deneyin.
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡Obtención exitosa de la pasarela de pago!,تم استرداد بوابة الدفع بنجاح!,পেমেন্ট গেটওয়ে সফলভাবে আনা!,Ödeme ağ geçidi başarıyla alındı!
Can't submit manual gateway in automatic link,Can't submit manual gateway in automatic link,No se puede enviar una pasarela manual en un enlace automático.,لا يمكن إرسال بوابة يدوية في رابط تلقائي,স্বয়ংক্রিয় লিঙ্কে ম্যানুয়াল গেটওয়ে জমা দেওয়া যাবে না,Otomatik bağlantıda manuel ağ geçidi gönderilemiyor
Record didn't saved properly. Please try again,Transaction failed. Record didn't saved properly. Please try again,"La transacción falló. El registro no se guardó correctamente. Por favor, inténtalo de nuevo.",لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,লেনদেন ব্যর্থ হয়েছে৷ রেকর্ড সঠিকভাবে সংরক্ষণ করা হয়নি. আবার চেষ্টা করুন,İşlem başarısız oldu. Kayıt düzgün kaydedilmedi. Lütfen tekrar deneyin.
Payment process cancel successfully!,Payment process cancel successfully!,Proceso de pago cancelado con éxito.,تم إلغاء عملية الدفع بنجاح!,পেমেন্ট প্রক্রিয়া সফলভাবে বাতিল!,Ödeme işlemi başarıyla iptal edildi!
Can't get fields. Requested gateway is automatic,Can't get fields. Requested gateway is automatic,No se pueden obtener los campos. La pasarela solicitada es automática.,لا يمكن الحصول على الحقول. البوابة المطلوبة هي تلقائية,ক্ষেত্র পাওয়া যাচ্ছে না। অনুরোধ করা গেটওয়ে স্বয়ংক্রিয়,Alanlara ulaşılamıyor. İstenen ağ geçidi otomatiktir.
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,"Esta pasarela de pago está en construcción. Por favor, inténtalo con otra pasarela de pago.",هذه البوابة الدفع تحت الإنشاء. يرجى المحاولة باستخدام بوابة دفع أخرى,এই পেমেন্ট গেটওয়ে নির্মাণাধীন আছে. অন্য পেমেন্ট গেটওয়ে দিয়ে চেষ্টা করুন,Bu ödeme ağ geçidi yapım aşamasındadır. Lütfen başka bir ödeme ağ geçidiyle deneyin.
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Campo de entrada de la pasarela de pago obtenido con éxito!,تم استرجاع حقول إدخال بوابة الدفع بنجاح!,পেমেন্ট গেটওয়ে ইনপুট ক্ষেত্র সফলভাবে আনা!,Ödeme ağ geçidi giriş alanları başarıyla getirildi!
Can't submit automatic gateway in manual link,Can't submit automatic gateway in manual link,No se puede enviar una pasarela automática en un enlace manual.,لا يمكن تقديم بوابة الدفع التلقائية في الرابط اليدوي,ম্যানুয়াল লিঙ্কে স্বয়ংক্রিয় গেটওয়ে জমা দেওয়া যাবে না,Manuel bağlantıda otomatik ağ geçidi gönderilemiyor
Selected gateway is invalid,Selected gateway is invalid,La pasarela seleccionada no es válida.,البوابة المحددة غير صالحة,নির্বাচিত গেটওয়ে অবৈধ৷,Seçilen ağ geçidi geçersiz
Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,"Transacción fallida. Error al guardar la información. Por favor, inténtalo de nuevo.",فشل في حفظ المعلومات. يرجى المحاولة مرة أخرى,লেনদেন ব্যর্থ হয়েছে৷ তথ্য সংরক্ষণ করতে ব্যর্থ হয়েছে. আবার চেষ্টা করুন,İşlem Başarısız. Bilgiler kaydedilemedi. Lütfen tekrar deneyin.
Your wallet is invalid!,Your wallet is invalid!,Tu billetera no es válida.,محفظتك غير صالحة!,আপনার ওয়ালেট অবৈধ!,Cüzdanınız geçersiz!
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,"Transacción exitosa. Por favor, espera la confirmación del administrador.",نجاح العملية. يرجى الانتظار لتأكيد المسؤول,লেনদেন সাফল্য. অ্যাডমিন নিশ্চিতকরণের জন্য অপেক্ষা করুন,İşlem Başarılı. Lütfen yönetici onayını bekleyin.
Request response fetch successfully!,Request response fetch successfully!,Solicitud de respuesta obtenida con éxito.,تم استرجاع استجابة الطلب بنجاح!,অনুরোধ প্রতিক্রিয়া সফলভাবে আনা!,İstek yanıtı başarıyla alındı!
Payment gateway response successful,Payment gateway response successful,Respuesta de la pasarela de pago exitosa.,نجاح استجابة بوابة الدفع,পেমেন্ট গেটওয়ে প্রতিক্রিয়া সফল,Ödeme ağ geçidi yanıtı başarılı
User dashboard data fetch successfully!,User dashboard data fetch successfully!,Obtención exitosa de los datos del panel de usuario.,تم استرجاع بيانات لوحة المستخدم بنجاح!,ব্যবহারকারী ড্যাশবোর্ড ডেটা সফলভাবে আনা!,Kullanıcı panosu verileri başarıyla alındı!
Investment plan list fetch successfully!,Investment plan list fetch successfully!,Obtención exitosa de la lista de planes de inversión.,تم استرجاع قائمة خطط الاستثمار بنجاح!,বিনিয়োগ পরিকল্পনা তালিকা সফলভাবে আনা!,Yatırım planı listesi başarıyla getirildi!
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Oops! Este plan ya no está disponible.,عذرًا! هذه الخطة لم تعد متاحة,উফ! এই পরিকল্পনা আর উপলব্ধ নেই,Hay aksi! Bu plan artık mevcut değil
Oops! Wallet not found!,Oops! Wallet not found!,¡Oops! Billetera no encontrada.,عذرًا! لم يتم العثور على المحفظة!,উফ! মানিব্যাগ পাওয়া যায়নি!,Oops! Cüzdan bulunamadı!
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente.,رصيد محفظتك غير كافٍ,আপনার ওয়ালেট ব্যালেন্স অপর্যাপ্ত,Cüzdan bakiyeniz yetersiz
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,"¡Oops! Algo salió mal. Por favor, inténtalo de nuevo.",عذرًا! حدث خطأ! يرجى المحاولة مرة أخرى,উফ! কিছু ভুল হয়েছে! আবার চেষ্টা করুন,Hay aksi! Bir sorun oluştu! Lütfen tekrar deneyin.
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,¡Nueva compra exitosa del plan de inversión!,تم شراء خطة الاستثمار الجديدة بنجاح!,নতুন বিনিয়োগ পরিকল্পনা সফলভাবে ক্রয়!,Yeni Yatırım Planı Satın Alma İşlemi Başarıyla Gerçekleştirildi!
Investment data fetch successfully!,Investment data fetch successfully!,Obtención exitosa de los datos de inversión.,تم استرجاع بيانات الاستثمار بنجاح!,বিনিয়োগ তথ্য সফলভাবে আনা!,Yatırım verileri başarıyla alındı!
Investment profit data fetch successfully!,Investment profit data fetch successfully!,Obtención exitosa de los datos de ganancias de inversión.,تم استرجاع بيانات الربح من الاستثمار بنجاح!,বিনিয়োগের লাভের ডেটা সফলভাবে আনা!,Yatırım karı verileri başarıyla alındı!
User wallets fetch successfully!,User wallets fetch successfully!,Obtención exitosa de las billeteras del usuario.,تم استرجاع بيانات محافظ المستخدم بنجاح!,ব্যবহারকারীর ওয়ালেট সফলভাবে আনা!,Kullanıcı cüzdanları başarıyla alındı!
Receiver doesn't exists or Receiver is temporary banned,Receiver doesn't exists or Receiver is temporary banned,El receptor no existe o el receptor está temporalmente bloqueado.,المستلم غير موجود أو المستلم محظور مؤقتًا,রিসিভার নেই বা রিসিভার সাময়িকভাবে নিষিদ্ধ,Alıcı mevcut değil veya Alıcı geçici olarak yasaklandı
Receiver wallet not available,Receiver wallet not available,Billetera del receptor no disponible.,المحفظة الخاصة بالمستلم غير متاحة,রিসিভার ওয়ালেট উপলব্ধ নেই,Alıcı cüzdanı mevcut değil
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente.,رصيد محفظتك غير كافٍ,আপনার ওয়ালেট ব্যালেন্স অপর্যাপ্ত,Cüzdan bakiyeniz yetersiz
Transaction failed! Something went wrong! Please try again,Transaction failed! Something went wrong! Please try again,"¡La transacción falló! Algo salió mal. Por favor, inténtalo de nuevo.",فشلت العملية! حدث خطأ! يرجى المحاولة مرة أخرى,লেনদেন ব্যর্থ হয়েছে! কিছু ভুল হয়েছে! আবার চেষ্টা করুন,İşlem başarısız oldu! Bir sorun oluştu! Lütfen tekrar deneyin.
Profile info fetch successfully!,Profile info fetch successfully!,Obtención exitosa de la información del perfil.,تم استرجاع معلومات الملف الشخصي بنجاح!,প্রোফাইল তথ্য সফলভাবে আনা!,Profil bilgisi başarıyla alındı!
Phone number already exists,Phone number already exists,El número de teléfono ya existe.,رقم الهاتف موجود بالفعل,ফোন নম্বর আগে থেকেই আছে,Telefon numarası zaten mevcut
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!,প্রোফাইল সফলভাবে আপডেট হয়েছে!,Profil başarıyla güncellendi!
Current password didn't match,Current password didn't match,La contraseña actual no coincide.,كلمة المرور الحالية غير متطابقة,বর্তমান পাসওয়ার্ড মেলেনি,Mevcut şifre eşleşmiyor
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada con éxito!,تم تحديث كلمة المرور بنجاح!,পাসওয়ার্ড সফলভাবে আপডেট হয়েছে!,Şifre başarıyla güncellendi!
Logout success!,Logout success!,¡Cierre de sesión exitoso!,تم تسجيل الخروج بنجاح!,লগআউট সাফল্য!,Çıkış başarılı!
Splash screen data fetch successfully!,Splash screen data fetch successfully!,Obtención exitosa de los datos de la pantalla de presentación.,تم استرجاع بيانات شاشة البداية بنجاح!,স্প্ল্যাশ স্ক্রীন ডেটা সফলভাবে আনা!,Açılış ekranı verileri başarıyla alındı!
